player,shot_efficiency,pass_accuracy,progressive_pass_ratio,dribble_success_rate,hidden_gem_score
Lionel Andrés Messi Cuccittini,100.00000000000001,84.15492957746478,29.225352112676056,68.0,79.3612676056338
Luis Gerardo Chávez Magallón,39.31990582512022,67.04545454545455,37.5,100.0,64.2733306751557
Alexis Mac Allister,21.05384786450992,89.45147679324894,17.72151898734177,100.0,61.50386784962488
Aurélien Djani Tchouaméni,8.66808587371528,89.78102189781022,35.03649635036496,100.0,58.9827351652894
Christian Dannemann Eriksen,13.107258238347432,84.10596026490066,31.125827814569533,100.0,58.72661323110372
Orbelín Pineda Alvarado,15.629399528827248,76.92307692307693,38.46153846153847,100.0,58.54721291201262
Montassar Omar Talbi,4.41757585015244,89.65517241379311,39.6551724137931,100.0,57.92546189238094
Andreas Christensen,3.3367570169959273,94.04761904761905,31.547619047619047,100.0,57.834531622615245
Virgil van Dijk,0.9681780275786444,90.42553191489361,47.87234042553192,100.0,57.732479330929124
Kang-In Lee,4.368370976748174,88.88888888888889,33.33333333333333,100.0,57.08448539741741
